Player Name,Total Clubs Played For,Clubs Played For
Sven F. Colombo,4,"Real Betis, Al-Hilal, VfL Wolfsburg, Dynamo Kyiv"
Lukas J. De Bruyne,6,"VfL Wolfsburg, Lyon, Palmeiras, Getafe, Inter Milan, Bayer Leverkusen"
Mason B. Leroy,7,"LA Galaxy, Nice, Bayer Leverkusen, São Paulo, Marseille, Juventus, FC Porto"
Gonçalo F. Hernandez,4,"Corinthians, Torino, VfL Wolfsburg, Arsenal"
Gianluigi K. Weber,4,"PSV Eindhoven, Schalke 04, Santos, Getafe"
Tiago N. Silva,7,"Corinthians, VfL Wolfsburg, LA Galaxy, Liverpool, Lille, Atletico Madrid, Ajax"
Kwame Fischer,5,"Everton, Valencia, Flamengo, Borussia Dortmund, Napoli"
Alexander D. Moreau,6,"Nice, Rangers, São Paulo, Brighton & Hove Albion, Al-Nassr, Al-Ittihad"
Igor E. Visser,6,"Real Madrid, Manchester United, Athletic Bilbao, Valencia, Galatasaray, Lille"
Virgil P. Diaz,6,"Olympiacos, Dynamo Kyiv, River Plate, Aston Villa, Bayern Munich, RB Leipzig"
Memphis P. Moreno,1,Everton
Igor K. Greco,1,Real Sociedad
Memphis T. Romano,4,"Real Sociedad, Bayer Leverkusen, Napoli, Marseille"
Adrian H. Alvarez,3,"Corinthians, Eintracht Frankfurt, Santos"
Daniel S. Rossi,2,"Liverpool, Napoli"
Gianluigi E. Santos,1,Benfica
Dominik P. Garcia,7,"Monaco, Juventus, SS Lazio, São Paulo, RB Leipzig, Atlanta United, LA Galaxy"
Tariq K. Fernandez,2,"Atalanta, Lille"
Giorgio L. Moreau,4,"Real Betis, Borussia Mönchengladbach, Al-Ahli, Athletic Bilbao"
Paul D. Diaz,2,"Monaco, Tottenham Hotspur"
Kofi Roux,7,"RB Leipzig, Nice, Al-Ittihad, Atlanta United, Eintracht Frankfurt, Newcastle United, River Plate"
Frenkie T. Rossi,3,"Torino, Inter Milan, Juventus"
Diogo F. David,3,"Villarreal, AC Milan, Real Betis"
Sven K. Leroy,4,"Real Betis, SS Lazio, Atlanta United, Eintracht Frankfurt"
Leonardo P. Gonzales,1,Sporting CP
Pedri H. Rojas,4,"Real Sociedad, Valencia, SS Lazio, Dynamo Kyiv"
Federico C. Sanchez,5,"Boca Juniors, Monaco, Al-Ahli, Getafe, West Ham United"
Thibaut N. Ramirez,3,"Real Madrid, Juventus, Rennes"
Paul T. Torres,2,"Bayer Leverkusen, Wolverhampton"
Samuel V. Taylor,4,"Aston Villa, Valencia, Bayer Leverkusen, Al-Ahli"
Leonardo S. Roberts,1,Besiktas
Toby Esposito,5,"Newcastle United, Galatasaray, Grêmio, Arsenal, Villarreal"
Pedri V. Sanchez,3,"FC Porto, Aston Villa, Real Sociedad"
Daniel J. Visser,1,Liverpool
Dimitri J. Müller,2,"Feyenoord, Celtic"
Oluwaseun D. Esposito,6,"Valencia, Juventus, Bologna, Feyenoord, Dynamo Kyiv, São Paulo"
Jan F. Laurent,2,"Shakhtar Donetsk, Brighton & Hove Albion"
Romelu P. De Bruyne,2,"Napoli, Sevilla"
Felix K. Lopez,2,"Bologna, Inter Miami"
Filip A. Greco,2,"Inter Milan, Besiktas"
Ciro L. David,5,"AS Roma, Real Sociedad, River Plate, Torino, Manchester City"
Samuel Marino,4,"Villarreal, Feyenoord, Rennes, Real Sociedad"
Jonas Greco,2,"Fluminense, Benfica"
Nicolas E. Simon,6,"Palmeiras, SS Lazio, Ajax, VfL Wolfsburg, Atalanta, Benfica"
Noah E. Bakker,6,"Fluminense, Torino, Schalke 04, BRAGA, Inter Miami, Villarreal"
Marco S. Ramirez,6,"Barcelona, Fluminense, Atalanta, River Plate, Ajax, Shakhtar Donetsk"
Noah L. De Jong,2,"Aston Villa, Palmeiras"
Alexander M. Torres,5,"Grêmio, Liverpool, LAFC, Real Sociedad, River Plate"
Kacper L. Greco,2,"Getafe, Celtic"
Jonas T. Jansen,7,"BRAGA, Olympiacos, Bayern Munich, Real Betis, Ajax, Chelsea, Barcelona"
Benjamin H. Smith,5,"Newcastle United, Celtic, Atalanta, Inter Miami, Rangers"
Sven G. Sanchez,2,"Aston Villa, Real Betis"
Cody F. Van Dijk,1,Dynamo Kyiv
Oliver R. Schneider,3,"Borussia Dortmund, Aston Villa, Wolverhampton"
Romelu N. De Jong,7,"Real Sociedad, Brighton & Hove Albion, Rennes, Getafe, Rangers, Inter Milan, Bayern Munich"
Lorenzo Silva,3,"Valencia, Everton, SS Lazio"
Jonas E. Laurent,2,"RB Leipzig, Marseille"
Oliver V. Esposito,3,"Feyenoord, Paris Saint-Germain, Borussia Mönchengladbach"
Xavi J. Becker,3,"Al-Ahli, Santos, Wolverhampton"
Ciro D. Santos,4,"Chelsea, Inter Miami, Flamengo, Borussia Dortmund"
Jakub F. Roux,4,"Galatasaray, Eintracht Frankfurt, Newcastle United, Chelsea"
Carlos N. Dubois,7,"Barcelona, Torino, Bayern Munich, Newcastle United, Al-Hilal, FC Porto, Real Sociedad"
Dominik L. Gomez,6,"Bayern Munich, Eintracht Frankfurt, Celtic, Bologna, Real Madrid, Olympiacos"
Marco M. Ricci,6,"Al-Hilal, RB Leipzig, Inter Miami, Grêmio, Everton, Schalke 04"
Kwame E. Santos,4,"Corinthians, Juventus, Bologna, Palmeiras"
Amir B. Simon,6,"Palmeiras, Rennes, Valencia, Lille, Fluminense, Villarreal"
Sebastian L. Romano,5,"Marseille, Athletic Bilbao, Real Sociedad, Manchester United, Corinthians"
Oluwaseun J. Thomas,3,"VfL Wolfsburg, Bayern Munich, LA Galaxy"
Arthur D. Bakker,5,"Atalanta, SS Lazio, Fenerbahce, Chelsea, West Ham United"
Kenji Brown,5,"BRAGA, Paris Saint-Germain, Shakhtar Donetsk, Atalanta, Ajax"
Nathan K. Rojas,4,"Al-Ittihad, Al-Ahli, Borussia Mönchengladbach, Flamengo"
Julian Hoffmann,3,"RB Leipzig, Juventus, Lyon"
Benjamin B. Hoffmann,1,Bologna
Virgil H. Alvarez,3,"Atletico Madrid, Borussia Mönchengladbach, Juventus"
Leonardo S. Silva,3,"Fenerbahce, FC Porto, Manchester United"
Gavi K. Torres,4,"PSV Eindhoven, Feyenoord, Lyon, BRAGA"
Alexander V. Ramirez,3,"Bologna, Atlanta United, São Paulo"
Sebastian N. Davies,2,"Atletico Madrid, Borussia Mönchengladbach"
Eden E. Flores,1,Al-Ahli
Mason S. Wagner,2,"PSV Eindhoven, Corinthians"
Sebastian E. Wagner,3,"Wolverhampton, Manchester City, RB Leipzig"
Leonardo H. Garcia,7,"Borussia Dortmund, Lille, Real Sociedad, FC Porto, Valencia, Brighton & Hove Albion, BRAGA"
Ciro S. Garcia,5,"Eintracht Frankfurt, Newcastle United, Bayer Leverkusen, Grêmio, Manchester United"
Chidi D. Michel,2,"PSV Eindhoven, Inter Miami"
Dominik K. Nieuwenhuis,7,"Manchester United, Liverpool, Al-Ittihad, Sevilla, Sporting CP, Everton, LA Galaxy"
Gianluigi P. Smith,6,"Inter Milan, Inter Miami, Rangers, Atlanta United, River Plate, Tottenham Hotspur"
Elias C. Roux,2,"RB Leipzig, Borussia Mönchengladbach"
